time-1,time-2,time-4,time-5,time-6,time-7,time-8,time-9,class
37,0,79,0,20,1,42,58,16,Rad-Flow
41,0,88,0,42,24,48,47,0,Rad-Flow
44,0,82,6,44,0,38,38,0,Rad-Flow
37,0,77,8,36,6,40,41,0,Rad-Flow
37,0,78,0,2,25,41,75,34,Rad-Flow
44,4,80,0,42,-14,36,39,2,Rad-Flow
41,1,86,0,42,26,46,45,0,Rad-Flow
39,2,85,-2,38,0,46,46,0,Rad-Flow
37,0,76,6,34,26,39,43,4,Rad-Flow
55,0,96,-1,38,-1,41,57,16,High
37,0,77,0,-20,6,41,98,58,Rad-Flow
50,-2,111,0,50,0,61,62,0,Rad-Flow
41,0,78,0,42,31,37,37,0,Rad-Flow
55,0,93,0,42,-20,37,51,14,High
43,3,76,0,42,-2,33,35,2,Rad-Flow
37,0,76,1,26,-6,39,50,10,Rad-Flow
56,0,76,0,-18,-25,20,94,74,High
42,-3,90,0,42,0,47,48,2,Rad-Flow
49,0,95,5,46,-10,46,48,2,Rad-Flow
46,-5,86,-1,46,-2,40,40,0,Rad-Flow
47,2,85,4,46,0,38,39,0,Rad-Flow
41,2,77,0,42,8,36,36,0,Rad-Flow
45,1,80,2,44,0,35,36,0,Rad-Flow
45,0,86,1,44,0,40,42,2,Rad-Flow
48,-1,89,-1,46,-4,41,42,2,Rad-Flow
46,0,92,6,46,0,45,45,0,Rad-Flow
37,0,80,-6,18,0,43,62,18,Rad-Flow
49,0,81,0,46,0,33,35,2,Rad-Flow
45,-3,77,2,44,0,32,33,0,Rad-Flow
37,0,77,0,34,9,41,44,2,Rad-Flow
48,-1,79,0,46,0,30,32,2,Rad-Flow
41,0,86,0,42,29,46,45,0,Rad-Flow
50,-5,83,0,50,0,32,33,2,Rad-Flow
37,1,99,0,28,0,62,71,8,Rad-Flow
46,-1,107,0,46,0,61,60,0,Rad-Flow
38,0,92,0,16,3,54,77,22,Rad-Flow
53,0,83,0,52,-30,30,32,2,Rad-Flow
47,1,78,-6,46,0,31,32,0,Rad-Flow
44,4,86,4,44,13,43,42,0,Rad-Flow
37,0,83,5,-2,0,46,85,40,Rad-Flow
37,5,79,0,18,0,42,61,20,Rad-Flow
55,0,77,0,26,2,21,51,30,High
55,0,95,0,38,0,40,57,16,High
41,-1,83,4,38,-3,42,44,2,Rad-Flow
56,2,95,0,34,0,40,62,22,High
46,2,90,0,46,8,44,43,0,Rad-Flow
48,-2,110,0,46,-3,62,64,2,Rad-Flow
81,0,84,0,-14,-2,4,100,96,Bypass
54,-1,87,0,54,0,33,33,0,Rad-Flow
45,0,81,0,44,14,36,37,2,Rad-Flow
37,0,84,0,26,0,47,58,10,Rad-Flow
56,0,83,0,54,-11,27,29,2,Rad-Flow
37,0,82,0,16,11,45,66,22,Rad-Flow
80,-4,84,0,-42,0,5,128,124,Bypass
